"block","item_no","stim1","stim1_consonant","stim1_vowel","stim1_tone","stim2","stim2_consonant","stim2_vowel","stim2_tone","ANSWER","stim1_syllable","stim2_syllable","consonant","vowel","tone","syllable","tone_pairs","consonant_pairs","vowel_pairs","syllable_pairs"
"orthogonal","112","thia4","th","ia","t4","tco4","tc","o","t4","same","thia","tco","th_tc","ia_o","t4t4","thia_tco","t4t4","tc_th","ia_o","tco_thia"
"orthogonal","113","khw3","kh","w","t3","tco3","tc","o","t3","same","khw","tco","kh_tc","w_o","t3t3","khw_tco","t3t3","kh_tc","o_w","khw_tco"
"orthogonal","114","wua2","w","ua","t2","thia2","th","ia","t2","same","wua","thia","w_th","ua_ia","t2t2","wua_thia","t2t2","th_w","ia_ua","thia_wua"
"orthogonal","115","thia5","th","ia","t5","khw5","kh","w","t5","same","thia","khw","th_kh","ia_w","t5t5","thia_khw","t5t5","kh_th","ia_w","khw_thia"
"orthogonal","116","thia3","th","ia","t3","tco2","tc","o","t2","diff","thia","tco","th_tc","ia_o","t3t2","thia_tco","t2t3","tc_th","ia_o","tco_thia"
"orthogonal","117","khw1","kh","w","t1","tco1","tc","o","t1","same","khw","tco","kh_tc","w_o","t1t1","khw_tco","t1t1","kh_tc","o_w","khw_tco"
"orthogonal","118","khw1","kh","w","t1","tco1","tc","o","t1","same","khw","tco","kh_tc","w_o","t1t1","khw_tco","t1t1","kh_tc","o_w","khw_tco"
"orthogonal","119","tco1","tc","o","t1","thia1","th","ia","t1","same","tco","thia","tc_th","o_ia","t1t1","tco_thia","t1t1","tc_th","ia_o","tco_thia"
"orthogonal","120","wua5","w","ua","t5","tco5","tc","o","t5","same","wua","tco","w_tc","ua_o","t5t5","wua_tco","t5t5","tc_w","o_ua","tco_wua"
"orthogonal","121","wua2","w","ua","t2","thia2","th","ia","t2","same","wua","thia","w_th","ua_ia","t2t2","wua_thia","t2t2","th_w","ia_ua","thia_wua"
"orthogonal","122","tco2","tc","o","t2","thia2","th","ia","t2","same","tco","thia","tc_th","o_ia","t2t2","tco_thia","t2t2","tc_th","ia_o","tco_thia"
"orthogonal","123","tco1","tc","o","t1","khw5","kh","w","t5","diff","tco","khw","tc_kh","o_w","t1t5","tco_khw","t1t5","kh_tc","o_w","khw_tco"
"orthogonal","124","wua4","w","ua","t4","khw1","kh","w","t1","diff","wua","khw","w_kh","ua_w","t4t1","wua_khw","t1t4","kh_w","ua_w","khw_wua"
"orthogonal","125","khw2","kh","w","t2","tco2","tc","o","t2","same","khw","tco","kh_tc","w_o","t2t2","khw_tco","t2t2","kh_tc","o_w","khw_tco"
"orthogonal","126","thia5","th","ia","t5","khw3","kh","w","t3","diff","thia","khw","th_kh","ia_w","t5t3","thia_khw","t3t5","kh_th","ia_w","khw_thia"
"orthogonal","127","tco2","tc","o","t2","thia2","th","ia","t2","same","tco","thia","tc_th","o_ia","t2t2","tco_thia","t2t2","tc_th","ia_o","tco_thia"
"orthogonal","128","khw3","kh","w","t3","thia5","th","ia","t5","diff","khw","thia","kh_th","w_ia","t3t5","khw_thia","t3t5","kh_th","ia_w","khw_thia"
"orthogonal","129","thia4","th","ia","t4","tco1","tc","o","t1","diff","thia","tco","th_tc","ia_o","t4t1","thia_tco","t1t4","tc_th","ia_o","tco_thia"
"orthogonal","130","tco3","tc","o","t3","khw4","kh","w","t4","diff","tco","khw","tc_kh","o_w","t3t4","tco_khw","t3t4","kh_tc","o_w","khw_tco"
"orthogonal","131","tco2","tc","o","t2","wua5","w","ua","t5","diff","tco","wua","tc_w","o_ua","t2t5","tco_wua","t2t5","tc_w","o_ua","tco_wua"
"orthogonal","132","thia2","th","ia","t2","tco2","tc","o","t2","same","thia","tco","th_tc","ia_o","t2t2","thia_tco","t2t2","tc_th","ia_o","tco_thia"
"orthogonal","133","khw2","kh","w","t2","wua2","w","ua","t2","same","khw","wua","kh_w","w_ua","t2t2","khw_wua","t2t2","kh_w","ua_w","khw_wua"
"orthogonal","134","thia1","th","ia","t1","tco1","tc","o","t1","same","thia","tco","th_tc","ia_o","t1t1","thia_tco","t1t1","tc_th","ia_o","tco_thia"
"orthogonal","135","thia5","th","ia","t5","wua5","w","ua","t5","same","thia","wua","th_w","ia_ua","t5t5","thia_wua","t5t5","th_w","ia_ua","thia_wua"
"orthogonal","136","thia5","th","ia","t5","khw3","kh","w","t3","diff","thia","khw","th_kh","ia_w","t5t3","thia_khw","t3t5","kh_th","ia_w","khw_thia"
"orthogonal","137","wua3","w","ua","t3","thia3","th","ia","t3","same","wua","thia","w_th","ua_ia","t3t3","wua_thia","t3t3","th_w","ia_ua","thia_wua"
